x,y,phi,radius,distance,phibin
-0.994564570734,-0.104121633872,-3.03728196001,1,1.0,5
0.587454265384,-0.809257367024,-0.94288685762,1,1.0,126
0.40711030535,0.913379000896,1.15150824477,1,1.0,246
-1.07459921669,1.68678289163,2.13802833369,2,2.0,302
0.26105238444,1.98288972275,1.4398966329,2,2.0,262
1.47455467362,1.35118041523,0.741764932098,2,2.0,222
1.99809644316,0.0872387747307,0.0436332312999,2,2.0,182
-1.9074339015,0.601411599009,2.83616003449,2,2.0,342
0.432879227876,-1.95259201424,-1.3526301703,2,2.0,102
-0.92349722647,-1.77402166636,-2.05076187109,2,2.0,62
-1.84775906502,-0.76536686473,-2.74889357189,2,2.0,22
1.58670668058,-1.21752285802,-0.654498469498,2,2.0,142
0.594295232154,2.9405464079,1.37137882437,3,3.0,258
-2.49951049411,-1.65905011674,-2.55561199262,3,3.0,33
-2.94413757994,-0.57624119115,-2.94831107432,3,3.0,11
0.57624119115,-2.94413757994,-1.37751474752,3,3.0,101
1.65905011674,-2.49951049411,-0.984815665823,3,3.0,123
2.9405464079,-0.594295232154,-0.199417502425,3,3.0,168
2.94413757994,0.57624119115,0.193281579274,3,3.0,191
-0.57624119115,2.94413757994,1.76407790607,3,3.0,281
-2.9405464079,0.594295232154,2.94217515116,3,3.0,348
-2.48928370138,1.67435559366,2.54947606947,3,3.0,326
-1.65905011674,2.49951049411,2.15677698777,3,3.0,303
2.49951049411,1.65905011674,0.585980660972,3,3.0,213
-1.67435559366,-2.48928370138,-2.16291291092,3,3.0,56
1.67435559366,2.48928370138,0.978679742671,3,3.0,236
2.48928370138,-1.67435559366,-0.592116584124,3,3.0,146
-0.594295232154,-2.9405464079,-1.77021382922,3,3.0,78
0.990306931877,-3.87547315572,-1.32061800557,4,4.0,104
2.04203950399,-3.43948755837,-1.03501867343,4,4.0,120
2.92833817996,-2.72485513446,-0.749419341282,4,4.0,137
2.28037406361,3.28631923738,0.964176651586,4,4.0,235
-3.93664274656,0.709114860913,2.9633719766,4,4.0,350
-3.57740031209,1.78947115289,2.67777264445,4,4.0,333
-2.92833817996,2.72485513446,2.39217331231,4,4.0,317
-2.04203950399,3.43948755837,2.10657398016,4,4.0,300
-0.990306931877,3.87547315572,1.82097464802,4,4.0,284
0.141654418272,3.99749096632,1.53537531587,4,4.0,268
1.2621397699,3.79565583282,1.24977598373,4,4.0,251
3.1138660126,2.51074460183,0.678577319441,4,4.0,219
-3.1138660126,-2.51074460183,-2.46301533415,4,4.0,38
3.97696179781,0.428689699827,0.107378655152,4,4.0,186
3.93664274656,-0.709114860913,-0.178220676993,4,4.0,169
3.57740031209,-1.78947115289,-0.463820009137,4,4.0,153
-0.141654418272,-3.99749096632,-1.60621733772,4,4.0,87
-1.2621397699,-3.79565583282,-1.89181666986,4,4.0,71
-2.28037406361,-3.28631923738,-2.177416002,4,4.0,55
-3.69509105611,-1.5317643706,-2.74861466629,4,4.0,22
-3.97696179781,-0.428689699827,-3.03421399844,4,4.0,6
3.69509105611,1.5317643706,0.392977987297,4,4.0,202
-2.05021923937,4.56032905288,1.9932984638,5,5.0,294
-4.84369961127,1.24039271029,2.89089636483,5,5.0,345
1.24039271029,4.84369961127,1.32010003803,5,5.0,255
-0.984047282554,4.90220878234,1.76889898854,5,5.0,281
-3.01358464254,3.98977538243,2.21769793906,5,5.0,307
-4.56032905288,-2.05021923937,-2.71909051658,5,5.0,24
-4.44624460489,2.28711803664,2.66649688957,5,5.0,333
-4.90220878234,-0.984047282554,-2.94348999184,5,5.0,11
-3.98977538243,-3.01358464254,-2.49469104133,5,5.0,37
2.28711803664,4.44624460489,1.09570056278,5,5.0,242
-3.82583632811,3.21915771445,2.44209741431,5,5.0,320
3.98977538243,3.01358464254,0.646901612263,5,5.0,217
3.21915771445,3.82583632811,0.871301087519,5,5.0,230
4.90220878234,0.984047282554,0.19810266175,5,5.0,191
4.56032905288,2.05021923937,0.422502137006,5,5.0,204
-3.21915771445,-3.82583632811,-2.27029156607,5,5.0,49
4.84369961127,-1.24039271029,-0.250696288763,5,5.0,165
-2.28711803664,-4.44624460489,-2.04589209081,5,5.0,62
4.44624460489,-2.28711803664,-0.475095764019,5,5.0,152
3.82583632811,-3.21915771445,-0.699495239276,5,5.0,140
3.01358464254,-3.98977538243,-0.923894714532,5,5.0,127
2.05021923937,-4.56032905288,-1.14829418979,5,5.0,114
0.984047282554,-4.90220878234,-1.37269366505,5,5.0,101
-1.24039271029,-4.84369961127,-1.82149261556,5,5.0,75
-0.131468914027,-4.99827129362,-1.5970931403,5,5.0,88
0.131468914027,4.99827129362,1.54449951329,5,5.0,268
4.99827129362,-0.131468914027,-0.0262968135066,5,5.0,178
-4.99827129362,0.131468914027,3.11529584008,5,5.0,358
1.85060025162,5.70747568621,1.25725065375,6,6.0,252
-1.33871460183,5.84874714916,1.79580939437,6,6.0,283
4.51600570871,3.95040408552,0.718691913136,6,6.0,221
3.73805975237,4.6932834229,0.898211493341,6,6.0,231
2.83996947991,5.28531676943,1.07773107355,6,6.0,241
0.801751208569,5.94619163831,1.43677023396,6,6.0,262
-2.36153503684,5.51571865397,1.97532897457,6,6.0,293
-5.78279664647,-1.59976965391,-2.87169969097,6,6.0,15
-4.14903612145,4.33422418235,2.33436813498,6,6.0,314
-4.85626501542,3.52373241038,2.51388771519,6,6.0,324
-5.40740955605,2.59998497941,2.69340729539,6,6.0,334
-5.97617465096,0.534169019367,3.0524464558,6,6.0,355
-5.97551462711,-0.541502484981,-3.05121927117,6,6.0,5
